#GaiaDR3-ULENS-,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_I0,err_I_I0_pl,err_I_I0_mn,f_bI,err_f_bI_pl,err_f_bI_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,chi2  
003-G0,2457297.845,0.111,-0.1078,0.0473,0.0049,-0.0042,64.8955,4.5979,-4.4805,--,--,--,--,--,--,14.1604,0.0012,-0.0012,0.254,0.0677,-0.0803,14.9664,0.0014,-0.0014,0.2669,0.0668,-0.0789,13.283,0.0014,-0.0014,0.2439,0.0689,-0.0813,--,--,--,--,--,--,14.4383,0.0018,-0.0019,0.3599,0.066,-0.0803,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,262.7
003-G+1,7298.5285,-0.3025,-0.2863,0.0433,-0.0076,-0.0114,62.1779,-11.098,-5.9293,-0.4593,-0.2952,-0.2419,0.1674,-0.0674,-0.0554,14.1586,-0.0015,-0.0011,0.2092,-0.1628,-0.1272,14.9646,-0.0016,-0.0014,0.2236,-0.1601,-0.1248,13.2812,-0.0016,-0.0013,0.1992,-0.1651,-0.1287,--,--,--,--,--,--,14.4381,-0.0018,-0.0017,0.3377,-0.1392,-0.111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,388.3
003-G+2,7298.543,-0.3049,-0.2936,0.0504,-0.0059,-0.0075,63.6086,-12.5003,-6.6464,0.4384,-0.2375,-0.2769,0.0851,-0.0656,-0.0613,14.1584,-0.0014,-0.0011,0.2117,-0.1606,-0.1328,14.9644,-0.0015,-0.0013,0.2263,-0.1577,-0.1304,13.281,-0.0015,-0.0013,0.202,-0.1627,-0.1344,--,--,--,--,--,--,14.4379,-0.0018,-0.0016,0.3395,-0.1397,-0.1168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,294.2
003-G-1,7298.614,-0.3194,-0.2974,-0.0518,-0.0077,-0.0058,63.0357,-12.9803,-6.1373,-0.4905,-0.3035,-0.2349,0.1715,-0.0668,-0.0557,14.1588,-0.0016,-0.0011,0.1983,-0.169,-0.1248,14.9647,-0.0017,-0.0014,0.2132,-0.1655,-0.1226,13.2813,-0.0017,-0.0013,0.1885,-0.1707,-0.1264,--,--,--,--,--,--,14.4382,-0.0019,-0.0016,0.326,-0.146,-0.1104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,322.9
003-G-2,7298.4774,-0.2873,-0.29,-0.0434,-0.0141,-0.0085,62.9643,-14.7216,-6.6775,0.4246,-0.2581,-0.2861,0.0824,-0.069,-0.0654,14.1584,-0.0014,-0.0011,0.2227,-0.1961,-0.1409,14.9643,-0.0016,-0.0013,0.2368,-0.1929,-0.1384,13.2809,-0.0016,-0.0013,0.2128,-0.199,-0.1426,--,--,--,--,--,--,14.4378,-0.0018,-0.0017,0.3515,-0.1683,-0.1251,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,353.9
018-G0,7721.3548,0.2256,0.2197,0.6639,0.0813,-0.0692,95.6258,5.5716,5.6984,--,--,--,--,--,--,15.9946,0.0003,0.0003,0.4833,0.0823,0.1103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.9557,0.0004,0.0004,0.4576,0.0811,0.1085,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,652.3
018-G+,7712.0476,1.6548,-1.6791,0.1531,0.0826,-0.0436,371.6563,143.35,-128.0915,-0.0508,0.0269,-0.0142,-0.0957,0.0174,-0.0111,15.9978,0.0018,-0.0016,0.9397,0.0193,-0.0429,--,--,--,--,--,--,--,--,--,--,--,--,--,14.9579,0.0019,-0.0016,0.9387,0.02,-0.0452,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,550.9
018-G-,7716.084,1.8799,-2.6191,-0.1364,0.0129,-0.0127,348.4929,47.223,-41.6583,0.1392,0.0281,-0.0304,-0.0492,0.0195,-0.0231,15.9975,0.0009,-0.0009,0.9441,0.0068,-0.0064,--,--,--,--,--,--,--,--,--,--,--,--,--,14.9577,0.0008,-0.0008,0.9424,0.0074,-0.0069,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,546.4
023-G0,7726.4645,0.0794,-0.0806,0.0078,0.0003,-0.0003,489.2499,16.0638,-15.2643,--,--,--,--,--,--,16.051,0.0023,-0.0022,0.8567,0.0048,-0.0048,16.5702,0.0029,-0.0029,0.8556,0.0049,-0.005,15.3556,0.0027,-0.0027,0.8543,0.0049,-0.005,--,--,--,--,--,--,15.7924,0.0021,-0.0021,0.9139,0.0028,-0.0029,15.3,0.0018,-0.0017,0.8145,0.0064,-0.0066,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2350.4
023-G+,7725.9846,0.0869,-0.0868,0.0328,0.0018,-0.0017,134.6583,5.836,-5.6148,-0.0474,0.0049,-0.005,0.1565,0.0082,-0.0077,15.9994,0.0022,-0.0022,0.4021,0.031,-0.0329,16.5167,0.0027,-0.0027,0.4077,0.0307,-0.0327,15.303,0.0025,-0.0025,0.4018,0.031,-0.033,--,--,--,--,--,--,15.2659,0.0008,-0.0007,0.3793,0.036,-0.0387,15.2659,0.0008,-0.0007,0.3793,0.036,-0.0387,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,550.9
023-G-,7725.9654,0.0814,-0.0822,-0.0317,0.0017,-0.0017,131.7621,5.8902,-5.4916,-0.0547,0.0053,-0.0055,0.1638,0.0084,-0.0082,16.0006,0.0023,-0.0022,0.3946,0.0319,-0.0332,16.5184,0.0028,-0.0027,0.3993,0.0318,-0.033,15.3046,0.0025,-0.0024,0.3933,0.0321,-0.0333,--,--,--,--,--,--,15.3046,0.0025,-0.0024,0.3933,0.0321,-0.0333,15.2658,0.0008,-0.0007,0.374,0.0368,-0.039,--,--,--,--,--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,--,--,--,546.4
025-G0,7491.5433,0.3314,-0.3177,0.1986,0.0009,-0.0014,108.8617,2.0996,-2.0711,--,--,--,--,--,--,16.128,0.0027,-0.0027,0.0049,0.008,-0.0037,--,--,--,--,--,--,14.8884,0.0028,-0.0028,0.0159,0.0079,-0.0036,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,519.8
025-G+,2457487.2299,0.8651,-1.4259,0.1166,0.0149,-0.0132,176.6795,16.9965,-14.869,0.5962,0.1318,-0.1013,0.3083,0.1113,-0.0667,16.1193,0.0046,-0.0044,0.4473,0.0671,-0.0783,--,--,--,--,--,--,14.88,0.0046,-0.0044,0.4528,0.0665,-0.0774,--,--,--,--,--,--,14.8035,0.0021,-0.0021,0.3717,0.0809,-0.099,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,172.1
025-G-,2457488.746,0.4251,-0.4185,-0.1888,0.0108,-0.0065,112.453,5.6735,-4.1936,-0.6732,0.1146,-0.1103,0.164,0.042,-0.0447,16.122,0.0031,-0.0026,0.0533,0.0612,-0.0373,--,--,--,--,--,--,14.8828,0.0032,-0.0027,0.0627,0.0606,-0.0369,--,--,--,--,--,--,14.8035,0.0012,-0.0011,-0.0243,0.1118,-0.122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,173.6
032-G0,2457022.9475,0.1028,-0.1067,0.0001,0.0136,-0.0134,52.9319,4.2696,-3.512,--,--,--,--,--,--,16.3326,0.0004,-0.0003,0.2394,0.1153,-0.1228,16.8029,0.0005,-0.0004,0.2531,0.1112,-0.1179,15.6787,0.0004,-0.0004,0.2953,0.1073,-0.1141,--,--,--,--,--,--,16.556,0.0023,-0.002,0.2099,0.0733,-0.0719,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1333.3
032-G+,2457022.9801,0.1538,-0.1637,-0.0031,0.0153,-0.0157,49.3535,3.3219,-2.691,1.0254,0.1869,-0.2648,-0.7937,0.4003,-0.3267,16.3327,0.0004,-0.0003,0.1678,0.1254,-0.1088,16.8029,0.0004,-0.0004,0.163,0.124,-0.1072,15.6783,0.0005,-0.0005,0.2244,0.1179,-0.1024,--,--,--,--,--,--,16.5585,0.0025,-0.0019,0.1343,0.0675,-0.0597,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1322.5
032-G-,7021.7799,0.2913,-0.3006,0.0025,0.0022,-0.0014,524.0365,572.3517,-226.9882,-0.7567,0.3677,-0.4407,-0.0033,0.0739,-0.0323,16.3319,0.0014,-0.0009,0.9297,0.0399,-0.0706,16.8022,0.0018,-0.0012,0.9279,0.0405,-0.0702,15.6772,0.0017,-0.0011,0.9325,0.0384,-0.0672,--,--,--,--,--,--,16.5559,0.0025,-0.0023,0.9402,0.0317,-0.0487,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1347.9
035-G0,7090.1885,0.0044,-0.0043,0.0838,0.0002,-0.0002,58.912,0.101,-0.1012,--,--,--,--,--,--,16.458,0.0001,-0.0001,0.0637,0.0021,-0.0021,--,--,--,--,--,--,15.5146,0.0001,-0.0001,0.1301,0.0019,-0.0019,--,--,--,--,--,--,--,--,--,--,--,--,15.4512,0.0001,-0.0001,0.0583,0.0025,-0.0025,15.4422,0.0053,-0.005,-278.1238,0.7871,-0.8264,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1246.1
035-G+,7090.1796,0.0068,-0.007,0.0846,0.0007,-0.0007,58.3559,0.4001,-0.4014,0.0193,0.0236,-0.0246,0.0085,0.0057,-0.0054,16.4579,0.0001,-0.0001,0.0536,0.0078,-0.008,--,--,--,--,--,--,15.5144,0.0001,-0.0001,0.1211,0.007,-0.0071,--,--,--,--,--,--,--,--,--,--,--,--,15.4511,0.0001,-0.0001,0.0478,0.0085,-0.0087,15.4511,0.0001,-0.0001,0.0478,0.0085,-0.0087,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1243.4
035-G-,2457090.1801,0.0066,-0.0066,-0.0846,0.0007,-0.0007,58.4482,0.421,-0.4224,0.0241,0.0272,-0.0314,0.0089,0.0056,-0.0055,16.4579,0.0001,-0.0001,0.0543,0.008,-0.0082,--,--,--,--,--,--,15.5144,0.0001,-0.0001,0.1219,0.0072,-0.0074,--,--,--,--,--,--,--,--,--,--,--,--,15.4511,0.0001,-0.0001,0.0476,0.0085,-0.0088,15.4405,0.0062,-0.006,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1243.4
047-G0,7265.8375,0.0015,-0.0014,0.0923,0.0001,-0.0001,85.9495,0.0375,-0.0371,--,--,--,--,--,--,16.6276,0.0001,-0.0001,0.0002,0.0003,-0.0001,--,--,--,--,--,--,15.2199,0.0001,-0.0001,-0.0116,0.0003,-0.0002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.4059,0.0014,-0.0014,0,0,0,15.8749,0.0004,-0.0004,0,0,0,16.7676,0.0007,-0.0007,0,0,0,5698.1
047-G+,7265.8831,0.0044,-0.0045,0.0936,0.0001,-0.0002,87.2276,0.1888,-0.122,-0.0211,0.001,-0.0009,0.2093,0.0103,-0.0108,16.6282,0.0001,-0.0001,0.0016,0.0026,-0.0012,--,--,--,--,--,--,15.2198,0.0001,-0.0001,-0.0083,0.0027,-0.0013,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.4027,0.0026,-0.0023,0,0,0,16.1827,0.0033,-0.0031,0,0,0,nan,nan,-nan,0,0,0,nan,nan,-nan,0,0,0,722797.7
047-G-,2457265.7177,0.0041,-0.004,-0.0905,0.0001,-0.0001,85.5167,0.0615,-0.0457,-0.0174,0.0007,-0.0007,0.2747,0.0103,-0.0111,16.6292,0.0001,-0.0001,0.0006,0.001,-0.0004,--,--,--,--,--,--,15.2219,0.0001,-0.0001,-0.0167,0.001,-0.0005,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.3978,0.0026,-0.0027,0,0,0,16.3978,0.0026,-0.0027,0,0,0,15.8806,0.0008,-0.0008,0,0,0,nan,nan,-nan,0,0,0,1381574.6
057-G0,7443.9234,7.0168,-4.9892,0.0964,0.0581,-0.0413,82.9448,43.5246,-17.6306,--,--,--,--,--,--,16.7978,0.0053,-0.0045,0.519,0.2677,-0.3329,--,--,--,--,--,--,15.9046,0.0048,-0.0037,0.5408,0.2555,-0.3174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
069-G0,7328.3373,0.0442,-0.0428,0.1287,0.0005,-0.0005,106.6919,0.2097,-0.2051,--,--,--,--,--,--,17.0713,0.0001,-0.0001,0.2218,0.004,-0.0039,--,--,--,--,--,--,15.8609,0.0001,-0.0001,0.3048,0.0036,-0.0035,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.8348,0.0012,-0.0012,0,0,0,15.7992,0.0001,-0.0001,0,0,0,15.7788,0.0001,-0.0001,0,0,0,15.7739,0.0001,-0.0001,14.8348,0.0012,-0.0012,85286.9
069-G+,7329.9674,0.0526,-0.0584,0.153,0.0006,-0.0009,94.6641,0.3612,-0.199,0.0344,0.0035,-0.0037,0.0292,0.001,-0.0012,17.0715,0.0001,-0.0001,0.0054,0.008,-0.004,--,--,--,--,--,--,15.8613,0.0001,-0.0001,0.1107,0.0072,-0.0036,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.7997,0.0001,-0.0001,0,0,0,15.7997,0.0001,-0.0001,0,0,0,15.7792,0.0001,-0.0001,0,0,0,15.7744,0.0001,0.0001,0,0,0,84875
069-G-,7329.5177,0.0898,-0.09,-0.1351,0.0013,-0.0013,103.4714,0.7396,-0.7532,-0.0716,0.0074,-0.0069,0.0154,0.001,-0.001,17.0712,0.0001,-0.0001,0.1451,0.011,-0.0113,-,--,--,--,--,--,15.8611,0.0001,-0.0001,0.2358,0.0099,-0.0101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.7996,0.0001,-0.0001,0,0,0,15.7996,0.0001,-0.0001,0,0,0,15.7792,0.0001,-0.0001,0,0,0,15.7742,0.0001,-0.0001,0,0,0,84872.9
073-G0,7406.8733,0.12,-0.1197,0.3351,0.0026,-0.0038,113.3625,0.5174,-0.3134,--,--,--,--,--,--,17.1363,0.0002,-0.0002,0.0083,0.0108,-0.0059,--,--,--,--,--,--,16.0485,0.0002,-0.0002,0.2182,0.0086,-0.0048,--,--,--,--,--,--,--,--,--,--,--,--,16.0228,0.0001,-0.0001,0.0429,0.0108,-0.0066,14.2644,0.0014,-0.0014,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16428
073-G+,7407.3733,0.5302,-0.524,0.1195,0.0052,-0.0047,240.1822,6.8928,-7.0205,-0.0471,0.004,-0.0038,0.1269,0.0067,-0.0072,17.1404,0.0003,-0.0003,0.7085,0.0113,-0.0126,--,--,--,--,--,--,16.052,0.0003,-0.0003,0.7692,0.009,-0.01,--,--,--,--,--,--,--,--,--,--,--,--,16.0234,0.0001,-0.0001,0.7206,0.0109,-0.0122,14.2773,0.0021,-0.0022,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16655.2
078-G0,6957.4655,2.0356,-1.7125,0.5242,0.2969,-0.1748,33.5286,10.0741,-7.8792,0.5038,0.2731,-0.2884,0.5453,0.3266,-0.371,17.1935,0.0001,-0.0001,0.6088,0.1779,-0.471,17.556,0.0001,-0.0001,0.6047,0.1797,-0.4761,15.9399,0.0001,-0.0001,0.8007,0.0907,-0.2401,--,--,--,--,--,--,--,--,--,--,--,--,16.2064,0.0001,-0.0001,0.6121,0.1763,-0.4655,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7625.9
078-G+,6957.4655,2.0356,-1.7125,0.5242,0.2969,-0.1748,33.5286,10.0741,-7.8792,0.5038,0.2731,-0.2884,0.5453,0.3266,-0.371,17.1935,0.0001,-0.0001,0.6088,0.1779,-0.471,17.556,0.0001,-0.0001,0.6047,0.1797,-0.4761,15.9399,0.0001,-0.0001,0.8007,0.0907,-0.2401,--,--,--,--,--,--,--,--,--,--,--,--,16.2064,0.0001,-0.0001,0.6121,0.1763,-0.4655,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1228.8
078-G-,6957.5709,2.9768,-1.8726,-0.5523,0.2329,-0.3954,31.6537,13.9925,-7.9868,0.5192,0.3136,-0.3342,-0.4993,0.3177,-0.2986,17.1935,0.0001,-0.0001,0.5735,0.2363,-0.7498,17.556,0.0001,-0.0001,0.569,0.2388,-0.7576,15.9399,0.0001,-0.0001,0.7831,0.1202,-0.3818,--,--,--,--,--,--,--,--,--,--,--,--,16.2063,0.0001,-0.0001,0.578,0.2342,-0.7344,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1268.8
079-G0,7301.4554,0.0161,-0.0158,0.2479,0.001,-0.001,105.1917,0.3045,-0.3038,--,--,--,--,--,--,17.2297,0.0001,-0.0001,0.4969,0.0024,-0.0024,--,--,--,--,--,--,16.4061,0.0001,-0.0001,0.4749,0.0025,-0.0025,--,--,--,--,--,--,--,--,--,--,--,--,16.3389,0.0001,-0.0001,0.4335,0.0028,-0.0028,14.566,0.0015,-0.0015,0,0,0,16.6864,0.0007,-0.0007,0.0195,0.0042,-0.0042,16.5908,0.0005,-0.0005,-0.0077,0.0044,-0.0044,17.8001,0.0006,-0.0006,-0.2525,0.0054,-0.0053,112941.8
079-G+,7301.304,0.0163,-0.0162,0.1515,0.0016,-0.0017,167.1216,1.3258,-1.2994,-0.0381,0.0047,-0.0048,-0.0867,0.0006,-0.0006,17.2424,0.0002,-0.0002,0.7202,0.0035,-0.0035,--,--,--,--,--,--,16.4201,0.0002,-0.0002,0.7085,0.0037,-0.0036,--,--,--,--,--,--,--,--,--,--,--,--,16.3399,0.0001,-0.0001,0.6904,0.004,-0.0039,14.7662,0.0033,-0.0032,0,0,0,16.6907,0.0007,-0.0007,0.4581,0.0069,-0.0067,16.5996,0.0006,-0.0006,0.4394,0.0071,-0.0069,17.8117,0.0007,-0.0007,0.301,0.0088,-0.0086,106429.7
079-G-,7301.3327,0.0166,-0.0166,-0.1606,0.0009,-0.0009,160.4149,0.8614,-0.8426,0.0164,0.005,-0.0049,-0.0884,0.0007,-0.0007,17.2423,0.0002,-0.0002,0.7004,0.0019,-0.0018,--,--,--,--,--,--,16.42,0.0002,-0.0002,0.6879,0.0019,-0.0019,--,--,--,--,--,--,--,--,--,--,--,--,16.3399,0.0001,-0.0001,0.6685,0.0022,-0.0021,14.7662,0.0032,-0.0032,0,0,0,16.6913,0.0007,-0.0007,0.4194,0.0035,-0.0035,16.6005,0.0005,-0.0005,0.3992,0.0036,-0.0036,17.8127,0.0007,-0.0007,0.2508,0.0045,-0.0044,106538.9
088-G0,7668.7977,0.0528,-0.0537,0.538,0.0003,-0.0005,106.7649,0.0927,-0.0825,--,--,--,--,--,--,17.3518,0.0001,-0.0001,0.001,0.0015,-0.0007,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.2248,0.0001,-0.0001,-0.009,0.0017,-0.0012,15.4384,0.0009,-0.0009,0,0,0,16.1753,0.0002,-0.0002,0.2577,0.0012,-0.0008,16.1997,0.0003,-0.0003,-0.3726,0.0023,-0.0017,16.2313,0.0003,-0.0003,-0.3617,0.0023,-0.0016,79806.6
